Theta, Dist(mm)(Unclean), 
97.3553,717.963,
98.6462,0,
98.6847,725.325,
99.9481,0,
100.014,729.125,
101.245,0,
101.404,662.388,
102.854,642.2,
104.046,623.2,
105.886,529.862,
107.276,508.25,
108.528,501.362,
110.045,502.312,
111.264,517.513,
112.374,548.388,
113.654,542.688,
114.84,542.688,
116.373,522.737,
117.592,505.4,
119.075,501.362,
120.234,504.212,
121.718,502.788,
123.124,486.875,
124.371,494.237,
125.354,508.725,
126.887,507.062,
133.737,0,
135.038,0,
136.335,0,
137.637,0,
137.67,2474.27,
138.933,0,
138.983,2429.39,
140.235,0,
140.295,2386.88,
141.537,0,
141.685,1943.7,
142.833,0,
143.015,2007.11,
144.135,0,
146.843,2242,
148.123,2207.09,
149.464,2182.39,
150.886,1783.62,
151.93,0,
152.183,1758.69,
153.232,0,
153.528,1735.89,
154.825,1703.82,
156.094,1698.12,
157.324,1900.95,
158.604,1917.57,
159.84,2046.3,
161.34,1660.36,
163.746,2019.7,
165.059,2007.11,
166.355,1991.68,
167.651,1988.59,
168.981,1984.79,
170.129,0,
170.261,1999.75,
171.562,1985.26,
172.859,1985.5,
174.139,1984.55,
175.452,1992.15,
176.748,1982.41,
178.044,1995.47,
179.39,2002.36,
180.687,1994.29,
181.95,2010.68,
183.246,1998.09,
191.058,1920.19,
192.222,0,
192.31,2100.21,
193.519,0,
193.59,2124.2,
194.821,0,
194.919,2140.59,
196.117,0,
196.199,2155.79,
197.419,0,
197.512,2179.77,
198.781,2207.09,
200.089,2237.73,
201.374,2267.65,
202.687,2293.77,
206.153,912.237,
207.609,882.55,
208.998,851.912,
210.262,824.362,
211.685,796.338,
211.718,0,
213.058,776.625,
214.387,752.162,
215.733,733.638,
217.09,715.112,
218.342,698.963,
219.683,683.05,
221.045,666.662,
222.451,653.125,
223.731,639.588,
225.077,626.763,
226.527,616.787,
227.889,603.013,
229.092,593.987,
230.499,583.537,
231.729,575.463,
233.015,565.963,
234.437,559.55,
235.854,552.188,
237.233,543.875,
238.436,537.225,
239.886,532,
241.249,527.25,
242.309,523.213,
243.858,516.8,
245.078,513,
246.374,508.962,
247.714,504.212,
249.186,500.65,
250.45,499.7,
251.702,496.85,
253.169,492.812,
254.339,490.913,
255.701,489.25,
257.031,486.875,
258.168,485.925,
259.607,484.975,
261.013,484.975,
262.233,483.312,
263.639,483.312,
264.902,482.837,
266.292,484.025,
267.308,485.45,
268.781,485.212,
270.154,486.638,
271.34,487.825,
272.593,489.487,
273.856,491.15,
275.136,494.95,
276.526,497.087,
277.625,499.462,
278.871,502.075,
280.168,505.163,
281.448,508.487,
282.717,513.713,
284.013,518.225,
285.48,522.263,
286.716,526.537,
287.809,532,
289.028,538.412,
290.418,545.3,
291.78,550.525,
292.89,558.362,
294.23,565.725,
295.51,575.225,
296.796,581.4,
298.043,590.9,
299.372,600.4,
300.465,611.325,
301.888,623.912,
303.074,635.787,
304.387,645.525,
305.684,660.013,
306.87,672.838,
313.857,191.188,
315.154,186.438,
316.45,182.163,
317.763,178.125,
319.059,174.325,
320.356,171.238,
321.636,167.913,
322.949,164.825,
324.745,162.212,
326.058,159.837,
327.354,157.938,
328.64,155.8,
329.952,153.663,
331.249,152,
332.545,150.1,
333.858,149.15,
335.154,147.25,
336.451,146.3,
337.747,144.875,
339.06,143.688,
340.34,142.975,
341.636,142.5,
342.949,143.212,
344.246,158.65,
345.58,0,
346.877,0,
348.179,0,
349.475,0,
350.777,0,
351.546,169.1,
352.859,165.062,
354.139,164.587,
355.435,163.875,
357.231,163.637,
358.577,163.163,
359.89,163.637,
Theta, Dist(mm)(Unclean), 
Theta, Dist(mm)(Unclean), 
1.11511,0,
1.93359,164.35,
3.72986,162.212,
5.02625,162.688,
6.31165,163.163,
7.62451,163.163,
8.42102,163.4,
9.71741,163.875,
11.0138,164.35,
12.3267,165.062,
13.623,165.538,
14.903,166.725,
16.2158,167.675,
17.5122,168.625,
18.6987,169.812,
19.9841,171.475,
21.2805,173.375,
23.1317,0,
24.4226,0,
25.719,0,
27.0154,0,
28.3118,0,
29.0259,531.05,
29.6027,0,
30.3882,530.575,
30.899,0,
31.5912,539.362,
32.1954,0,
32.7448,546.25,
33.4918,0,
34.2169,557.175,
36.0901,441.987,
37.5458,430.587,
43.0774,398.288,
43.8464,0,
45.1428,0,
46.4392,0,
46.9061,223.488,
49.6692,210.188,
51.0754,205.438,
52.3718,202.113,
52.7948,199.738,
54.9646,196.175,
56.261,191.9,
58.0957,0,
58.8593,194.038,
60.683,0,
61.9794,0,
63.2758,0,
64.0283,200.925,
65.863,0,
67.1594,0,
68.4558,0,
69.7467,0,
71.0431,0,
72.3395,0,
73.6304,0,
74.9268,0,
76.2231,0,
77.4976,151.05,
78.7939,151.288,
80.1068,149.863,
81.3867,150.575,
82.6666,149.863,
83.9905,0,
85.2869,0,
86.5778,151.05,
87.8796,0,
89.1705,0,
90.4669,0,
91.7633,0,
93.0597,0,
94.3506,0,
95.647,0,
95.7788,725.8,
96.9434,0,
97.1082,717.487,
98.2397,0,
98.3276,720.575,
99.5306,0,
99.7778,728.412,
100.827,0,
101.058,669.987,
102.404,671.65,
103.964,622.487,
105.249,630.8,
106.935,512.763,
108.342,504.925,
109.638,502.312,
110.995,512.763,
112.011,552.9,
113.247,542.925,
114.747,542.45,
115.906,526.062,
117.296,514.662,
118.872,501.362,
120.185,506.587,
121.234,505.638,
122.855,491.15,
124.047,490.675,
125.403,503.975,
126.667,507.3,
133.171,809.875,
133.204,0,
134.484,839.088,
134.495,0,
135.791,0,
137.087,0,
138.384,0,
138.543,2453.38,
139.872,2401.36,
141.279,1942.51,
142.267,0,
142.575,1993.57,
143.558,0,
143.839,2069.81,
144.855,0,
145.107,2140.82,
146.387,2243.19,
147.684,2220.39,
148.98,2196.16,
150.452,1781.96,
151.765,1759.88,
153.045,1747.76,
154.341,1712.85,
155.715,1703.35,
156.901,1862,
158.231,1904.04,
159.45,2046.78,
160.73,2053.66,
162.169,1709.29,
163.405,1901.66,
164.652,2020.65,
165.938,2015.9,
167.245,2015.43,
168.53,2011.15,
169.827,2001.41,
171.14,2011.15,
172.436,2007.59,
173.749,2009.49,
175.062,2007.82,
176.309,2011.15,
177.621,2011.86,
178.967,2010.68,
180.264,2011.86,
181.527,2023.03,
182.856,2017.32,
185.202,3275.12,
186.482,3282.73,
187.778,3268.71,
189.091,3287,
190.404,3314.31,
191.475,0,
191.904,2100.21,
193.217,2115.65,
194.48,2139.88,
195.809,2155.55,
197.106,2178.82,
198.375,2199.01,
199.671,2217.54,
200.984,2250.55,
202.264,2278.57,
203.637,2310.88,
205.823,919.6,
207.169,890.15,
208.515,857.612,
209.949,830.3,
211.278,802.75,
212.64,780.9,
213.887,759.763,
215.327,739.1,
216.733,719.15,
218.013,702.525,
219.342,686.375,
220.732,670.225,
222.105,653.6,
223.341,643.15,
224.654,630.325,
226.121,616.55,
227.39,606.812,
228.636,594.463,
230.12,587.338,
231.465,575.463,
232.811,567.388,
233.981,561.925,
235.514,552.188,
236.733,546.013,
238.156,539.362,
239.31,534.612,
240.623,528.2,
241.919,522.975,
243.325,517.037,
244.792,512.763,
246.154,509.2,
247.484,504.45,
248.796,501.125,
249.906,500.175,
251.373,496.375,
252.636,492.812,
253.905,490.913,
255.311,489.25,
256.591,487.587,
257.937,486.875,
259.354,484.975,
260.717,484.737,
261.859,483.312,
263.073,483.55,
264.496,482.837,
265.765,484.263,
267.188,485.212,
268.308,485.212,
269.67,486.638,
271.044,487.587,
272.263,489.25,
273.56,491.15,
274.763,493.763,
276.218,496.85,
277.465,499.225,
278.542,501.6,
280.042,504.925,
281.074,508.487,
282.354,511.337,
283.733,516.8,
284.936,522.025,
286.232,526.3,
287.545,531.763,
288.825,538.175,
290.105,544.588,
291.434,549.338,
292.764,557.888,
294.044,565.487,
295.247,571.425,
296.406,580.925,
297.729,590.662,
299.059,596.838,
300.278,607.525,
301.465,619.4,
302.684,632.225,
304.047,642.912,
305.387,654.312,
306.464,668.8,
312.858,192.85,
314.857,187.863,
316.154,183.587,
317.45,179.075,
318.763,175.512,
320.059,171.238,
321.339,168.625,
322.652,165.775,
324.448,162.925,
325.745,160.55,
327.057,158.65,
328.359,155.8,
329.656,153.9,
330.952,152.475,
332.249,150.1,
333.545,149.15,
334.858,147.25,
336.154,146.3,
337.434,145.35,
338.73,144.637,
340.043,142.975,
341.34,142.5,
342.653,143.925,
342.988,0,
344.279,0,
345.575,0,
346.871,0,
348.168,0,
349.459,0,
350.755,0,
352.529,165.062,
353.859,164.587,
355.155,164.35,
356.451,164.587,
357.748,164.587,
358.528,163.163,
359.841,163.637,
